DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Percentile Rank,Environment Grade,College and Career Readiness Grade,Enrollment,% Students with Disabilities,% Overage,% Black or Hispanic,% ELL
02M475,STUYVESANT HIGH SCHOOL,832,679,735,92,C,A,3286,0.014,0.001,0.037,0.001
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,98,A,A,395,0.038,0,0.243,0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,98,A,A,1185,0.017,0.001,0.062,0
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,94,C,A,3060,0.015,0.003,0.103,0.001
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,72,B,A,601,0.013,0,0.343,0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,97,A,A,1116,0.004,0,0.198,0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,96,A,A,400,0.02,0.005,0.18,0
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,92,B,A,439,0.048,0.007,0.36,0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,75,D,A,5451,0.014,0.003,0.175,0.001
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,64,B,A,509,0.022,0.012,0.42,0.002
03M479,BEACON HIGH SCHOOL,261,577,575,73,B,A,1263,0.062,0.002,0.384,0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,92,A,A,516,0.031,0,0.169,0
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,89,C,A,2688,0.026,0.003,0.309,0.001
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,79,A,A,591,0.005,0.007,0.315,0.002
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,88,B,A,578,0.18,0.003,0.263,0.01
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,95,A,A,658,0.097,0.005,0.275,0.002
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,81,B,A,1018,0.114,0.004,0.208,0.011
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,79,B,A,270,0.004,0,0.3,0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,87,D,A,570,0.044,0,0.349,0.004
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,60,B,B,410,0.18,0.007,0.434,0.005
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,86,C,A,510,0.025,0.004,0.651,0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,63,C,B,438,0.066,0.007,0.527,0.005
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,57,D,A,786,0.039,0.006,0.439,0
27Q323,SCHOLARS' ACADEMY,89,499,537,94,A,A,453,0.004,0.002,0.382,0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,93,B,A,441,0.05,0.005,0.197,0.002
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,87,A,B,280,0.132,0.05,0.357,0.014
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,79,B,A,752,0.109,0.021,0.44,0.04
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,52,C,A,3778,0.147,0.028,0.384,0.063
22K405,MIDWOOD HIGH SCHOOL,824,478,519,47,B,B,3893,0.073,0.014,0.463,0.038
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,59,B,B,936,0.03,0.014,0.97,0.001
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,74,A,A,456,0.07,0.018,0.636,0.009
02M376,NYC ISCHOOL,92,473,483,73,B,B,447,0.145,0.002,0.62,0.002
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,72,A,A,476,0.227,0.011,0.382,0.017
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,33,D,B,900,0.037,0.012,0.952,0
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,79,C,A,363,0.234,0.014,0.325,0.003
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,78,B,A,517,0.06,0.012,0.729,0.002
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,84,A,A,4129,0.149,0.041,0.325,0.141
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,49,B,B,4031,0.172,0.027,0.42,0.088
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,88,D,A,480,0.123,0.008,0.519,0.004
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,58,B,A,1339,0.164,0.043,0.746,0.09
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,57,B,B,3849,0.18,0.012,0.127,0.014
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,80,C,A,3297,0.144,0.027,0.37,0.058
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,65,C,B,1617,0.08,0.011,0.772,0.035
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,95,A,A,448,0.192,0.033,0.929,0.029
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,23,C,A,1134,0.092,0.046,0.96,0.025
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,75,A,A,313,0.045,0.006,0.942,0
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,68,C,B,3834,0.144,0.033,0.395,0.088
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,78,A,A,573,0.038,0.007,0.853,0.002
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,76,B,A,3402,0.219,0.038,0.358,0.031
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,41,C,A,311,0.122,0.01,0.415,0.013
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,70,B,B,2225,0.136,0.028,0.439,0.013
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,90,A,A,517,0.18,0.012,0.304,0.002
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,86,A,B,2224,0.084,0.013,0.596,0.027
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,37,D,B,1386,0.155,0.034,0.769,0.017
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,55,B,A,641,0.189,0.059,0.808,0.034
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,65,B,A,757,0.162,0.066,0.679,0.089
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,47,B,B,501,0.158,0.024,0.703,0.056
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,99,B,A,413,0.107,0.002,0.896,0.034
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,37,D,A,280,0.136,0.021,0.768,0.025
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,55,C,B,638,0.196,0.025,0.683,0.044
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,91,A,A,371,0.078,0.019,0.957,0.003
31R450,CURTIS HIGH SCHOOL,375,437,435,53,B,A,2441,0.197,0.066,0.709,0.063
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,31,A,B,3158,0.151,0.038,0.336,0.123
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,28,B,D,485,0.107,0.056,0.864,0.019
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,22,C,C,603,0.227,0.106,0.927,0.109
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,92,A,A,289,0.118,0.01,0.893,0.014
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,74,A,A,691,0.233,0.043,0.462,0.122
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,72,A,A,504,0.208,0.042,0.895,0.022
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,21,B,B,1339,0.084,0.038,0.932,0.034
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,71,B,A,309,0.113,0.042,0.547,0.081
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,61,B,A,1726,0.139,0.046,0.732,0.045
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,76,C,B,928,0.098,0.018,0.514,0.005
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,17,F,C,639,0.189,0.036,0.297,0.085
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,84,B,B,223,0.063,0.009,0.879,0.004
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,83,A,A,142,0.134,0.021,0.993,0.035
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,32,C,C,768,0.112,0.033,0.926,0.007
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,46,B,B,1609,0.14,0.054,0.968,0.099
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,83,A,A,1292,0.241,0.024,0.632,0.055
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,41,C,B,1227,0.189,0.022,0.65,0.027
31R440,NEW DORP HIGH SCHOOL,391,424,437,50,B,B,2683,0.229,0.045,0.388,0.054
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,22,B,B,1950,0.254,0.07,0.692,0.057
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,86,A,A,1669,0.123,0.031,0.923,0.028
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,81,A,C,593,0.162,0.013,0.508,0.04
02M298,PACE HIGH SCHOOL,85,423,438,75,C,B,426,0.157,0.04,0.763,0.016
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,39,C,C,428,0.1,0.037,0.956,0.023
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,57,C,B,401,0.127,0.055,0.686,0.105
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,49,C,A,326,0.129,0.043,0.951,0.037
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,2,D,C,3654,0.206,0.126,0.897,0.202
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,17,A,C,491,0.265,0.09,0.914,0.045
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,87,A,A,434,0.083,0.035,0.956,0.012
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,41,C,B,4419,0.146,0.061,0.337,0.216
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,41,B,B,1469,0.167,0.029,0.796,0.046
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,49,C,B,647,0.309,0.07,0.74,0.04
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,32,C,B,640,0.208,0.108,0.872,0.05
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,69,C,A,385,0.145,0.042,0.356,0.171
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,18,C,C,277,0.072,0.014,0.978,0.004
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,42,C,B,2766,0.145,0.091,0.557,0.177
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,21,C,C,720,0.179,0.09,0.922,0.089
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,96,A,B,440,0.098,0.082,0.827,0.35
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,3,D,B,696,0.162,0.138,0.976,0.095
05M304,MOTT HALL HIGH SCHOOL,54,413,399,22,B,C,425,0.186,0.073,0.976,0.094
07X551,BRONX ACADEMY OF LETTERS,51,413,381,69,C,A,328,0.22,0.049,0.979,0.104
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,4,D,B,2944,0.253,0.091,0.829,0.095
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,98,B,A,388,0.046,0.049,0.062,0.348
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,72,B,A,339,0.218,0.035,0.953,0.065
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,100,A,A,437,0.199,0.023,0.741,0.032
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,49,C,B,433,0.212,0.042,0.91,0.028
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,33,C,C,618,0.194,0.07,0.913,0.07
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,19,C,C,592,0.258,0.093,0.941,0.061
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,83,A,A,342,0.129,0.035,0.98,0.018
12X267,BRONX LATIN,36,408,432,90,A,A,240,0.254,0.121,0.983,0.129
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,1,F,C,1792,0.173,0.104,0.873,0.111
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,30,B,B,920,0.187,0.047,0.745,0.104
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,7,F,B,416,0.197,0.108,0.913,0.038
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,24,C,B,346,0.223,0.185,0.962,0.127
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,14,B,C,817,0.192,0.071,0.947,0.021
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,26,B,C,555,0.198,0.054,0.872,0.02
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,68,B,B,428,0.189,0.063,0.701,0.112
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,97,A,A,436,0.126,0.039,0.667,0.067
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,56,B,B,439,0.212,0.062,0.841,0.03
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,91,A,B,465,0.157,0.026,0.918,0.041
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,20,D,B,318,0.145,0.082,0.792,0.17
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,28,B,B,333,0.192,0.051,0.961,0.036
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,57,C,B,1894,0.121,0.075,0.464,0.234
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,42,C,B,469,0.192,0.051,0.97,0.062
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,90,B,B,447,0.235,0.04,0.866,0.078
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,59,B,B,405,0.153,0.074,0.951,0.116
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,29,C,B,418,0.227,0.074,0.902,0.11
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,36,C,B,330,0.233,0.121,0.952,0.091
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,10,C,C,3029,0.17,0.087,0.735,0.147
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,63,B,B,472,0.083,0.032,0.962,0.038
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,11,B,C,291,0.189,0.186,0.969,0.107
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,31,B,B,351,0.279,0.054,0.846,0.046
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,73,C,A,3289,0.185,0.104,0.324,0.247
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,47,C,B,512,0.197,0.059,0.461,0.107
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,31,C,C,416,0.226,0.132,0.966,0.067
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,88,A,C,458,0.17,0.079,0.928,0.041
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,31,B,B,326,0.153,0.052,0.936,0.021
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,66,B,A,440,0.145,0.027,0.961,0.007
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,28,D,A,442,0.131,0.115,0.894,0.054
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,52,C,B,289,0.062,0.028,0.945,0.028
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,24,A,D,419,0.227,0.141,0.952,0.086
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,8,B,C,657,0.181,0.122,0.965,0.283
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,43,F,B,534,0.169,0.084,0.882,0.062
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,62,B,C,428,0.234,0.075,0.9,0.042
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,14,C,B,235,0.298,0.132,0.949,0.196
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,50,A,B,497,0.157,0.048,0.823,0.006
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,81,A,B,1003,0.154,0.085,0.936,0.111
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,44,A,C,619,0.208,0.123,0.924,0.073
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,63,B,C,438,0.292,0.023,0.304,0.009
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,13,D,C,418,0.144,0.067,0.921,0.045
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,54,C,B,3634,0.14,0.099,0.614,0.257
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,82,A,B,636,0.151,0.028,0.863,0.03
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,27,F,B,282,0.195,0.082,0.837,0.131
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,39,B,B,2419,0.157,0.078,0.587,0.148
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,36,B,B,393,0.145,0.038,0.982,0.01
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,62,B,B,547,0.177,0.106,0.947,0.115
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,53,C,B,396,0.157,0.172,0.98,0.056
28Q505,HILLCREST HIGH SCHOOL,462,395,413,60,A,B,3109,0.111,0.083,0.571,0.157
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,8,C,C,"1,936",0.16,0.093,0.683,0.224
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,19,C,B,"1,227",0.202,0.066,0.927,0.037
02M449,VANGUARD HIGH SCHOOL,72,395,416,50,B,B,438,0.242,0.082,0.833,0.064
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,80,A,B,189,0.36,0.074,0.915,0.085
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,12,B,C,780,0.303,0.115,0.891,0.038
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,23,C,C,518,0.274,0.1,0.983,0.124
